"Data" "Umidmin" "Chuva" "POSTO" "FONTE" "LAT" "LONG" "Longitude" "Latitude" "optional"
"1" 2019-01-01 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"2" 2019-01-02 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"3" 2019-01-03 90 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"4" 2019-01-04 91 4 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"5" 2019-01-05 91 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"6" 2019-01-06 89 10 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"7" 2019-01-07 90 2 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"8" 2019-01-08 89 4 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"9" 2019-01-09 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"10" 2019-01-10 89 3.4 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"11" 2019-01-11 91 0.7 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"12" 2019-01-12 91 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"13" 2019-01-13 89 43 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"14" 2019-01-14 89 0.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"15" 2019-01-15 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"16" 2019-01-16 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"17" 2019-01-17 90 7.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"18" 2019-01-18 91 11 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"19" 2019-01-19 90 12.2 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"20" 2019-01-20 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"21" 2019-01-21 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"22" 2019-01-22 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"23" 2019-01-23 90 3.7 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"24" 2019-01-24 90 21 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"25" 2019-01-25 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"26" 2019-01-26 89 27 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"27" 2019-01-27 89 10 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"28" 2019-01-28 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"29" 2019-01-29 88 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"30" 2019-01-30 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"31" 2019-01-31 89 18.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"32" 2019-02-01 90 0.8 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"33" 2019-02-02 90 0.7 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"34" 2019-02-03 90 2.6 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"35" 2019-02-04 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"36" 2019-02-05 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"37" 2019-02-06 89 1.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"38" 2019-02-07 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"39" 2019-02-08 90 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"40" 2019-02-09 90 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"41" 2019-02-10 90 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"42" 2019-02-11 90 27.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"43" 2019-02-12 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"44" 2019-02-13 89 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"45" 2019-02-14 90 0 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"46" 2019-02-15 90 41.5 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
"47" 2019-02-16 90 5.8 "CPO" "Arauco" -26.015 -49.639 -49.639 -26.015 TRUE
